job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
AI00001,AI Research Scientist,90376,USD,Senior-level,Contract,China,Medium,China,Hybrid,"Tableau, PyTorch, Kubernetes, Linux, NLP",Bachelor,9,Automotive,2024-10-18,2024-11-07,1076,5.9,Smart Analytics
AI00002,AI Software Engineer,61895,USD,Entry-level,Contract,Canada,Medium,Ireland,Remote,"Deep Learning, AWS, Mathematics, Python, Docker",Master,1,Media,2024-11-20,2025-01-11,1268,5.2,TechCorp Inc
AI00003,AI Specialist,152626,USD,Mid-level,Freelance,Switzerland,Large,South Korea,Onsite,"Kubernetes, Deep Learning, Java, Hadoop, NLP",Associate,2,Education,2025-03-18,2025-04-07,1974,9.4,Autonomous Tech
AI00004,NLP Engineer,80215,USD,Senior-level,Freelance,India,Medium,India,Hybrid,"Scala, SQL, Linux, Python",PhD,7,Consulting,2024-12-23,2025-02-24,1345,8.6,Future Systems
AI00005,AI Consultant,54624,EUR,Entry-level,Part-Time,France,Small,Singapore,Remote,"MLOps, Java, Tableau, Python",Master,0,Media,2025-04-15,2025-06-23,1989,6.6,Advanced Robotics
AI00006,AI Architect,123574,EUR,Senior-level,Contract,Germany,Medium,Germany,Hybrid,"Data Visualization, R, SQL, Linux",Associate,7,Healthcare,2024-08-31,2024-10-04,819,5.9,Neural Networks Co
AI00007,Principal Data Scientist,79670,GBP,Mid-level,Freelance,United Kingdom,Small,United Kingdom,Onsite,"R, Docker, MLOps",Associate,3,Gaming,2024-12-29,2025-02-28,1936,6.3,DataVision Ltd
AI00008,NLP Engineer,70640,EUR,Entry-level,Freelance,France,Large,France,Onsite,"Python, SQL, Computer Vision, Java, Azure",Master,0,Healthcare,2024-06-07,2024-07-01,1286,7.6,Cloud AI Solutions
AI00009,Data Analyst,160710,USD,Senior-level,Contract,Singapore,Large,Singapore,Onsite,"Hadoop, Git, Mathematics, Python",PhD,7,Government,2024-11-04,2024-11-24,551,9.3,Quantum Computing Inc
AI00010,AI Software Engineer,102557,USD,Senior-level,Part-Time,Austria,Medium,Austria,Onsite,"MLOps, GCP, Scala, Azure, Linux",Master,5,Government,2024-10-20,2024-11-06,2340,5.8,Cloud AI Solutions
AI00011,Autonomous Systems Engineer,102322,USD,Senior-level,Part-Time,Sweden,Medium,Sweden,Remote,"MLOps, Python, SQL",Associate,8,Telecommunications,2025-01-29,2025-03-05,1047,9.9,Smart Analytics
AI00012,AI Architect,115047,USD,Executive,Contract,South Korea,Small,South Korea,Onsite,"R, Data Visualization, Python, Azure",Master,15,Manufacturing,2024-07-16,2024-08-19,513,6.8,TechCorp Inc
AI00013,AI Consultant,124355,EUR,Senior-level,Contract,France,Medium,France,Remote,"Tableau, Python, TensorFlow",PhD,5,Automotive,2024-12-29,2025-01-27,760,5.2,Predictive Systems
AI00014,Autonomous Systems Engineer,68760,USD,Entry-level,Contract,Norway,Small,Norway,Onsite,"Scala, SQL, Statistics",Master,0,Energy,2024-02-11,2024-02-25,1657,9.1,Cloud AI Solutions
AI00015,AI Research Scientist,150122,USD,Senior-level,Full-Time,Sweden,Medium,Sweden,Remote,"PyTorch, Python, Data Visualization, GCP",Associate,6,Technology,2024-10-02,2024-11-26,1466,9.8,Advanced Robotics
AI00016,AI Product Manager,78846,GBP,Entry-level,Part-Time,United Kingdom,Large,Israel,Onsite,"Linux, Statistics, Deep Learning",PhD,0,Consulting,2024-09-28,2024-10-26,2059,9.6,DataVision Ltd
AI00017,Principal Data Scientist,59823,USD,Entry-level,Full-Time,India,Large,India,Remote,"Tableau, NLP, Spark",Bachelor,1,Real Estate,2025-02-06,2025-03-26,1200,5.8,Predictive Systems
AI00018,Machine Learning Engineer,181139,EUR,Executive,Contract,France,Large,France,Remote,"MLOps, PyTorch, Azure",Associate,15,Real Estate,2024-04-24,2024-06-03,2142,8.7,AI Innovations
AI00019,Data Engineer,155300,USD,Senior-level,Contract,Singapore,Medium,Singapore,Onsite,"Git, Hadoop, R, Python, Spark",Associate,9,Finance,2024-04-30,2024-05-29,589,8.6,Algorithmic Solutions
AI00020,Research Scientist,93851,EUR,Mid-level,Part-Time,Netherlands,Large,Germany,Remote,"Java, Scala, NLP, Docker, Computer Vision",PhD,4,Transportation,2024-05-01,2024-07-02,1809,6.7,AI Innovations
AI00021,Data Engineer,134197,USD,Mid-level,Full-Time,Norway,Medium,France,Onsite,"Deep Learning, AWS, Azure",Bachelor,3,Telecommunications,2024-06-21,2024-08-28,969,9.6,AI Innovations
AI00022,Autonomous Systems Engineer,102550,USD,Mid-level,Part-Time,United States,Medium,United States,Onsite,"Tableau, Spark, NLP, TensorFlow, PyTorch",Bachelor,2,Automotive,2024-04-23,2024-06-23,625,10.0,Cognitive Computing
AI00023,ML Ops Engineer,99382,EUR,Senior-level,Contract,Germany,Small,Germany,Onsite,"Hadoop, Git, Tableau",PhD,7,Automotive,2025-03-13,2025-05-11,1629,6.9,Quantum Computing Inc
AI00024,AI Product Manager,52167,USD,Mid-level,Full-Time,Austria,Medium,Ireland,Remote,"Git, Hadoop, Docker",Master,4,Telecommunications,2024-06-07,2024-06-24,2298,9.3,Cloud AI Solutions
AI00025,ML Ops Engineer,53923,USD,Mid-level,Full-Time,China,Small,China,Onsite,"AWS, Azure, Git, SQL, Computer Vision",Bachelor,2,Healthcare,2024-10-27,2024-11-18,1006,7.4,AI Innovations
AI00026,Robotics Engineer,109779,USD,Senior-level,Part-Time,Israel,Large,Israel,Remote,"Linux, Git, Tableau, Kubernetes, Data Visualization",PhD,6,Government,2024-08-01,2024-10-02,1146,8.8,DataVision Ltd
AI00027,ML Ops Engineer,80979,USD,Mid-level,Contract,Australia,Small,India,Hybrid,"Hadoop, Linux, Git, Scala",Master,2,Media,2024-11-18,2025-01-18,2109,7.7,TechCorp Inc
AI00028,Data Analyst,52997,USD,Mid-level,Part-Time,Austria,Medium,Singapore,Onsite,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",PhD,2,Government,2025-01-10,2025-02-20,2101,8.6,Predictive Systems
AI00029,Head of AI,42819,USD,Entry-level,Contract,Ireland,Medium,Ireland,Hybrid,"Python, Scala, NLP, Mathematics, Git",PhD,0,Healthcare,2024-10-08,2024-11-20,2187,8.6,Cognitive Computing
AI00030,ML Ops Engineer,82083,USD,Mid-level,Contract,Israel,Large,Israel,Remote,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",Master,2,Retail,2024-01-18,2024-02-25,1212,6.3,Future Systems
AI00031,Head of AI,67488,EUR,Entry-level,Full-Time,Netherlands,Medium,Netherlands,Remote,"Deep Learning, GCP, AWS, Linux, Tableau",Master,1,Retail,2024-05-16,2024-07-26,887,6.0,Advanced Robotics
AI00032,Research Scientist,68624,USD,Entry-level,Full-Time,Denmark,Medium,Denmark,Onsite,"Azure, Python, Spark",Master,1,Real Estate,2024-01-31,2024-03-08,1910,9.2,Cloud AI Solutions
AI00033,Robotics Engineer,146852,USD,Senior-level,Full-Time,Switzerland,Small,Switzerland,Hybrid,"NLP, Scala, Python",PhD,7,Real Estate,2024-08-28,2024-09-20,684,5.3,Cognitive Computing
AI00034,ML Ops Engineer,178183,USD,Executive,Freelance,Finland,Medium,Finland,Onsite,"Tableau, Azure, GCP, Linux, Python",Associate,16,Education,2024-03-01,2024-03-19,1850,5.7,Predictive Systems
AI00035,Deep Learning Engineer,150864,USD,Senior-level,Freelance,Sweden,Large,Singapore,Onsite,"R, GCP, MLOps, Linux",PhD,8,Consulting,2024-10-26,2024-12-25,1504,7.9,Smart Analytics
AI00036,Head of AI,126942,USD,Executive,Contract,Finland,Large,Netherlands,Onsite,"Git, Hadoop, Data Visualization",Associate,10,Finance,2024-01-31,2024-02-26,1261,9.9,Autonomous Tech
AI00037,AI Architect,53752,USD,Mid-level,Part-Time,Japan,Medium,Japan,Remote,"Data Visualization, Tableau, AWS, Mathematics, Python",Associate,2,Telecommunications,2024-10-17,2024-11-12,998,6.1,TechCorp Inc
AI00038,Robotics Engineer,111381,USD,Executive,Contract,Israel,Small,Israel,Onsite,"Linux, PyTorch, SQL, Statistics",Master,18,Government,2024-01-14,2024-03-12,1030,8.1,Autonomous Tech
AI00039,AI Specialist,41430,USD,Entry-level,Part-Time,China,Medium,China,Hybrid,"Tableau, Docker, GCP",Bachelor,1,Healthcare,2024-06-15,2024-07-29,2323,8.0,Future Systems
AI00040,Data Engineer,166080,EUR,Executive,Freelance,Netherlands,Large,Netherlands,Remote,"Computer Vision, Azure, Tableau",Associate,15,Government,2024-03-01,2024-05-01,831,5.1,DeepTech Ventures
AI00041,Data Scientist,96956,USD,Mid-level,Full-Time,United States,Medium,China,Onsite,"Data Visualization, Azure, Spark, MLOps",Bachelor,2,Telecommunications,2024-02-24,2024-03-09,761,5.3,DataVision Ltd
AI00042,AI Architect,196954,USD,Senior-level,Freelance,United States,Large,United States,Hybrid,"Java, Mathematics, SQL",Bachelor,8,Finance,2025-03-17,2025-04-16,2290,7.5,DataVision Ltd
